Country,Name,lat,lng,Altitude
USA,Admiral William Standley State Recreation Area,0,0,0
USA,Ahjumawi Lava Springs State Park,41.1317024,-121.4503496,0
USA,Albany State Marine Reserve,37.88727188,-122.2979965,0
USA,Anderson Marsh State Historic Park,38.9255592,-122.6362231,0
USA,Andrew Molera State Park,36.2792293,-121.8289178,0
USA,Angel Island State Park,37.860909,-122.4325682,0
USA,Annadel State Park,38.4263743,-122.6182928,0
USA,Año Nuevo State Park,37.143,-122.3400449,0
USA,Antelope Valley California Poppy Reserve,34.7349045,-118.3960096,0
USA,Antelope Valley Indian Museum State Historic Park,0,0,0
USA,Anza-Borrego Desert State Park,33.100492,-116.3013267,0
USA,Armstrong Redwoods State Natural Reserve,38.5412149,-123.0085415,0
USA,Arthur B. Ripley Desert Woodland State Park,34.7517752,-118.495155,0
USA,Asilomar State Beach,36.6329288,-121.9376793,0
USA,Auburn State Recreation Area,38.9043183,-121.0553478,0
USA,Austin Creek State Recreation Area,38.5724075,-123.0507632,0
USA,Azalea State Natural Reserve,0,0,0
USA,Bale Grist Mill State Historic Park,38.5411887,-122.5088972,0
USA,Bean Hollow State Beach,37.2273608,-122.4109773,0
USA,Benbow Lake State Recreation Area,40.0621721,-123.793346,0
USA,Benicia Capitol State Historic Park,38.0500737,-122.1585503,0
USA,Benicia State Recreation Area,38.0711056,-122.1930517,0
USA,Bethany Reservoir State Recreation Area,0,0,0
USA,Bidwell Mansion State Historic Park,39.7325354,-121.8432732,0
USA,Bidwell-Sacramento River State Park,39.7553255,-121.8128437,0
USA,Big Basin Redwoods State Park,37.1806032,-122.2253369,0
USA,Bodie State Historic Park,38.2025463,-119.016404,0
USA,Bolsa Chica State Beach,33.6954737,-118.0487376,0
USA,Border Field State Park,32.5447017,-117.1220632,0
USA,Bothe-Napa Valley State Park,38.5516923,-122.522049,0
USA,Brannan Island State Recreation Area,38.11456,-121.6933284,0
USA,Burleigh H. Murray Ranch,37.4565611,-122.3815924,0
USA,Burton Creek State Park,39.1924595,-120.1416089,0
USA,Butano State Park,37.2143229,-122.3105091,0
USA,Calaveras Big Trees State Park,38.2466064,-120.2686683,0
USA,California Citrus State Historic Park,33.8958307,-117.4189288,0
USA,California State Capitol Museum,38.5765978,-121.4933552,0
USA,California State Mining and Mineral Museum,37.46358,-119.948939,0
USA,California State Railroad Museum,38.5849892,-121.5043289,0
USA,Candlestick Point State Recreation Area,37.7127483,-122.3812047,0
USA,Cardiff State Beach,33.0098231,-117.27963,0
USA,Carlsbad State Beach,33.1504687,-117.3483346,0
USA,Carmel River State Beach,36.535541,-121.9226656,0
